scientist,"['0,1,0, {555}']"
seattl,"['0,1,0, {254}']"
secur,"['0,3,1,{410, 967, 167}']"
see,"['0,1,0, {759}']"
select,"['0,1,0, {154}']"
seminar,"['0,1,0, {23}']"
senior,"['0,4,2,{753, 730, 797, 159}']"
sensor,"['0,2,0, {897, 947}']"
serg,"['0,1,0, {133}']"
seri,"['0,2,0, {24, 27}', '1,1,0, {137}']"
sever,"['0,1,0, {760}']"
sharad,"['1,1,0, {106}']"
shari,"['0,1,0, {94}']"
showcas,"['0,1,0, {29}']"
sinc,"['0,1,0, {533}']"
softwar,"['0,1,0, {980}']"
someth,"['0,1,0, {240}']"
speaker,"['1,1,0, {96}']"
spoke,"['0,1,0, {788}']"
spotlight,"['0,3,3,{160, 731, 76}']"
spring,"['0,1,0, {246}']"
start,"['0,1,0, {256}']"
startup,"['0,1,0, {115}']"
statu,"['0,1,0, {955}']"
stay,"['0,1,0, {770}']"
stellman,"['0,1,0, {131}']"
stem,"['0,1,0, {586}']"
step,"['0,1,0, {278}']"
stori,"['0,1,0, {722}']"
strength,"['0,1,0, {230}']"
student,"['0,7,2,{264, 329, 493, 17, 593, 275, 506}']"
subtract,"['0,1,0, {707}']"
success,"['0,1,0, {319}']"
such,"['0,1,0, {772}']"
summari,"['1,1,0, {92}']"
support,"['0,1,0, {588}']"
surpass,"['0,1,0, {117}']"
system,"['0,1,0, {408}', '1,2,0, {116, 119}']"
taheri,"['0,1,1,{640}']"
tear,"['0,1,0, {964}']"
technic,"['0,2,0, {932, 927}']"
technolog,"['0,2,0, {57, 582}']"
temperatur,"['0,1,0, {959}']"
that,"['0,6,0, {872, 457, 976, 116, 884, 60}']"
the,"['0,35,2,{390, 777, 907, 653, 660, 535, 926, 543, 290, 936, 688, 306, 562, 313, 448, 577, 580, 326, 203, 331, 720, 337, 724, 214, 474, 478, 867, 618, 875, 748, 624, 113, 249, 378, 508}']"
their,"['0,2,0, {466, 669}']"
these,"['0,1,0, {105}']"
they,"['0,1,0, {692}']"
